Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      12 |                    7
         3 |                 10.000000 |                      24 |                   14
         4 |                 18.000000 |                      35 |                   17
         5 |                 27.000000 |                      48 |                   21
         6 |                 39.000000 |                      64 |                   25
         7 |                 52.000000 |                      78 |                   26
         8 |                 68.000000 |                     102 |                   34
         9 |                 85.000000 |                     132 |                   47
        10 |                105.000000 |                     170 |                   65
        11 |                126.000000 |                     192 |                   66
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       5 |                    4
         2 |                  5.000000 |                      11 |                    6
         3 |                 10.000000 |                      19 |                    9
         4 |                 18.000000 |                      28 |                   10
         5 |                 27.000000 |                      50 |                   23
         6 |                 39.000000 |                      71 |                   32
         7 |                 52.000000 |                     101 |                   49
         8 |                 68.000000 |                     113 |                   45
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      19 |                    9
         4 |                 18.000000 |                      28 |                   10
         5 |                 27.000000 |                      48 |                   21
         6 |                 39.000000 |                      77 |                   38
         7 |                 52.000000 |                     106 |                   54
         8 |                 68.000000 |                     160 |                   92
         9 |                 85.000000 |                     196 |                  111
        10 |                105.000000 |                     207 |                  102
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      20 |                   10
         4 |                 18.000000 |                      35 |                   17
         5 |                 27.000000 |                      44 |                   17
         6 |                 39.000000 |                      65 |                   26
         7 |                 52.000000 |                      93 |                   41
         8 |                 68.000000 |                     167 |                   99
         9 |                 85.000000 |                     206 |                  121
        10 |                105.000000 |                     252 |                  147
        11 |                126.000000 |                     334 |                  208
        12 |                150.000000 |                     391 |                  241
        13 |                175.000000 |                     476 |                  301
        14 |                203.000000 |                     484 |                  281
        15 |                232.000000 |                     485 |                  253
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      16 |                    6
         4 |                 18.000000 |                      27 |                    9
         5 |                 27.000000 |                      46 |                   19
         6 |                 39.000000 |                      55 |                   16
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      12 |                    7
         3 |                 10.000000 |                      30 |                   20
         4 |                 18.000000 |                      45 |                   27
         5 |                 27.000000 |                      62 |                   35
         6 |                 39.000000 |                      81 |                   42
         7 |                 52.000000 |                     113 |                   61
         8 |                 68.000000 |                     117 |                   49
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      24 |                   14
         4 |                 18.000000 |                      35 |                   17
         5 |                 27.000000 |                      50 |                   23
         6 |                 39.000000 |                      86 |                   47
         7 |                 52.000000 |                      93 |                   41
         8 |                 68.000000 |                     104 |                   36
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      14 |                    9
         3 |                 10.000000 |                      23 |                   13
         4 |                 18.000000 |                      38 |                   20
         5 |                 27.000000 |                      62 |                   35
         6 |                 39.000000 |                      89 |                   50
         7 |                 52.000000 |                     109 |                   57
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
